"","trim.321ra.gtf","trim.331ra.gtf","trim.336r.gtf","trim.370r.gtf","trim.380r.gtf","trim.410r.gtf","trim.414r.gtf","trim.419r.gtf","trim.468r.gtf","trim.512r.gtf","trim.549r.gtf","trim.568r.gtf","trim.571r.gtf","trim.581r.gtf","trim.586r.gtf","gene"
"Ahyacinthus04386",9.5225675721663,7.50223583531314,8.34867694803742,8.47757265632394,7.84799484171594,8.92212253343241,9.85635523219463,7.61122681598007,6.47174411986686,7.75009827270412,8.81409631019508,8.79674977089676,7.99361190302998,9.47225686532825,8.05727976822229,"Ahyacinthus04386"
"Ahyacinthus17409",9.10228260655616,8.05135606540959,7.55090155327626,8.39297435275819,8.40621129662372,8.68402558999206,10.4569335329539,8.50722341228758,7.71148448320402,7.8290795378292,8.57792442717444,9.62808981994412,9.1949189180433,9.36232578349189,8.62352206002064,"Ahyacinthus17409"
"Ahyacinthus04658",11.0809047535323,11.3266505162148,10.8144351267777,12.4552486332699,11.0456676128064,11.7746755708345,11.6171519960659,11.1911857386739,10.9923588916177,11.2558501841136,11.2509867449609,11.6021957686605,10.856325071053,11.9821721118812,10.938376520563,"Ahyacinthus04658"
"Ahyacinthus14456",13.5171902856089,13.6236806695181,12.4478266128039,14.8552472616872,12.7365891378622,14.0031514510705,14.2028349451678,13.7244355900197,12.0798848647553,13.0649524394249,13.0921136170655,13.856890556147,12.368165608527,14.6696700424406,13.0314100827154,"Ahyacinthus14456"
"Ahyacinthus15475",10.8594895456493,10.5746746901975,11.7518293319648,9.82129735954091,10.7091752701894,10.2544105124795,9.82633221145423,10.7625115636576,11.1345817205396,11.3345666656739,10.5642322851473,9.51608696474373,11.0125696395981,10.256604923744,10.5142328540089,"Ahyacinthus15475"
"Ahyacinthus03839",9.81355479315405,8.24549928274962,9.66469312857713,11.3951769773072,9.11050761889554,9.13291430181266,8.47948418962797,8.41916066695108,8.02045092480385,8.37975257486531,8.77554793032859,11.4205632158674,8.35848724574903,12.0548309412496,7.85752485169211,"Ahyacinthus03839"
"Ahyacinthus01472",8.84933189821574,10.9255417503502,10.5484504768972,8.75625137007007,10.1590647913816,8.52003063874641,9.77402632630992,10.183017774382,9.58230644877735,9.73745772338838,9.52449850204821,9.19601780187232,9.55348602799914,8.66680491333723,9.84440802042699,"Ahyacinthus01472"
"Ahyacinthus14645",10.345997754053,8.06302520485829,8.59952510454414,9.92718026696313,7.48091725525525,9.43321504067496,11.6761088485183,8.56273239365867,8.73752490507298,7.950162278944,9.80899978435189,9.49614653895683,8.6904024939804,9.25251120280963,8.65381677217322,"Ahyacinthus14645"
"Ahyacinthus24404",7.80188247377175,7.72668776094287,8.20350414961386,11.0023583603948,7.48812578432023,9.8192798184698,8.90140582346676,7.55208979390844,8.0151575638307,7.47782888956025,7.93249768561572,10.0423584443179,7.53513537764433,11.9086174685741,7.63579307796536,"Ahyacinthus24404"
"Ahyacinthus21575",8.43639191793658,8.09358028484955,7.36878810295494,11.7956827927256,7.27666480063657,9.2469486416353,9.52282103549043,8.5398939400538,7.41664642253766,8.03633606900613,7.9962295331571,11.3504927506594,7.74567223734181,12.5819504599321,7.96770408099523,"Ahyacinthus21575"
"Ahyacinthus10691",7.18174097943862,7.85544270858872,8.53273606373661,6.47174411986686,8.28664254242532,7.5135853472398,7.3533556384124,9.20797900755413,8.37382811641011,9.25069657743338,7.70781573753334,7.50289735286111,8.97336421130342,6.47174411986686,8.65381677217322,"Ahyacinthus10691"
"Ahyacinthus19547",10.2860188740758,10.0224459133984,9.1352366871189,10.1178468565298,8.90180587407498,10.7121412650764,11.9671595839391,9.94598946689865,10.0770299366531,9.58304678006958,10.6769930078986,10.1432836697017,10.2532729633754,12.0044953604266,10.0811257356947,"Ahyacinthus19547"
"Ahyacinthus22828",15.11945493902,13.5805745176651,14.6932844697081,17.2715160201415,14.3347923554006,15.0132559558698,14.4624429397021,13.2067282414832,14.6856462162529,14.3792374601779,16.009393476108,14.669983024973,13.3426820072765,16.6707149686782,13.7407194227739,"Ahyacinthus22828"
"Ahyacinthus16344",12.1767337026851,8.92358575370822,9.78674783582424,10.9916272281313,10.9438391001643,11.6672129382382,12.2868749876452,10.8867541352655,10.2510754279469,10.8961264429674,11.1697755271826,13.5512184271878,11.6323306069603,11.7375702453531,10.4734027514811,"Ahyacinthus16344"
"Ahyacinthus16343",11.5143857853263,11.2556364436298,11.0976139562367,12.536731600678,10.9102570448515,11.9016711274328,12.3081444316361,11.7955619488051,11.1849425381599,11.0590383792124,11.2034566092713,11.7743888993353,11.3535191149547,13.5890961425169,11.6060567314819,"Ahyacinthus16343"
"Ahyacinthus22827",10.338417410466,10.2788927768521,9.42414686205094,12.5172553728391,9.98809541271769,11.5764417175774,12.1598059068312,10.9859967016287,9.98734421599848,9.76461749317362,10.1479869717359,11.5400764127134,9.96413154414762,12.8041527046772,10.3013940170077,"Ahyacinthus22827"
"Ahyacinthus14859",12.4339798003116,12.3171404560926,12.0570012326185,13.9601978783137,11.9651802735938,12.3640870943276,11.9553106265002,12.1764724534406,12.4149844179995,12.0398310445695,12.9062864385017,13.6677610432674,12.1425034300452,13.9283834983573,12.1688798476416,"Ahyacinthus14859"
"Ahyacinthus23250",7.99588612071348,8.14158970885866,8.36300856340036,11.7100086826288,7.80235756469322,11.2427635378452,9.19830308443226,8.42925280874757,8.38556970379611,8.6706225908409,9.54867826231366,11.5774607015584,8.6904024939804,14.066026402073,8.83683052477824,"Ahyacinthus23250"
"Ahyacinthus07820",11.2839660145857,11.3550891321045,10.9250952978439,12.9238243892841,10.7573604863446,11.8715767560898,12.2457505773792,11.6233357817161,11.4052522213787,10.7608774419009,12.1452207658276,10.8727882534488,11.0533032705392,13.9647563048821,11.5312795982159,"Ahyacinthus07820"
"Ahyacinthus01278",15.254986645156,7.29918088317573,7.3112433879386,6.47174411986686,7.60887786071777,11.5618956905638,14.4128359728671,7.23209325964482,6.47174411986686,8.39463013028905,8.52071636230092,11.4118428995336,6.47174411986686,11.6159450535555,6.47174411986686,"Ahyacinthus01278"
"Ahyacinthus01272",9.39760802316056,10.3968330567386,9.31186414374961,8.2043077027161,10.2969983681317,8.81376716046294,9.5329179926524,9.92181041971219,10.4248851772209,8.99069433241936,9.67156741042081,8.56138249089805,9.98898881660958,8.73828096911919,9.76671006452037,"Ahyacinthus01272"
"Ahyacinthus01274",9.86257857349886,8.00345568924179,9.18586756587961,9.32046170824559,8.10385782242996,8.59829931856978,9.8402681363971,8.60723399202872,7.59977330316345,9.09605407431677,8.54246803296144,10.1656994353272,7.69452132863278,9.96178940838699,7.64376552251889,"Ahyacinthus01274"
"Ahyacinthus13440",7.54772373452659,7.19817630104342,7.75228110726118,9.5155966553514,7.19770613763557,7.6523842218058,8.24217704783797,7.76070232360178,7.42629779360222,8.20019480560803,8.42193099934735,9.6502577280876,6.47174411986686,8.66680491333723,7.36780119916788,"Ahyacinthus13440"
"Ahyacinthus12717",9.76452291681304,8.66459106191108,8.83459399530822,9.24881982008438,8.55163214372653,9.29307711648352,8.95924337548617,8.2799637557651,7.46383374194118,8.31314976819265,8.60902563583887,9.43921710484118,8.12807205417443,10.0934300096331,7.64376552251889,"Ahyacinthus12717"
"Ahyacinthus07125",10.3124583472231,10.0099024190614,9.60512996011112,10.2815624630825,9.11411982956963,10.4820474698165,11.169861507633,10.2966448435137,9.49646824304069,9.11903650772631,9.9407543392483,10.0900552843135,9.68598143934565,11.7106616378957,9.47888874990862,"Ahyacinthus07125"
"Ahyacinthus07126",12.5306287542668,12.0549269263638,11.6773508128148,13.4275796249419,11.7292635510462,12.8035487864854,13.484705167851,12.7096877469401,11.7484490644526,12.2302457324491,12.0724904661512,12.3897030788862,12.0488008957521,14.0719813873301,12.4444032112287,"Ahyacinthus07126"
"Ahyacinthus08092",8.12588325608489,6.47174411986686,6.47174411986686,9.05151517511034,6.47174411986686,9.00387617096833,8.5256487494002,6.85094422876992,6.47174411986686,6.47174411986686,7.4164735231166,9.50947165414284,7.24099048191034,10.7888739481876,6.47174411986686,"Ahyacinthus08092"
"Ahyacinthus22597",9.41230748900675,9.3951639655029,8.86640086325101,9.83950323338286,8.90180587407498,9.04976285530859,10.5748741170715,9.14059568050891,8.70753202009262,8.99382055891164,10.309979600704,8.84779620126474,9.51708424664499,11.1982169981885,9.44768763083428,"Ahyacinthus22597"
"Ahyacinthus22596",10.4052356223129,9.97159369019335,9.76796473566327,10.5173231713786,9.14620860204328,10.948592866558,10.6210647919747,10.0341339355339,9.74398622879323,9.77977938934424,10.9676867500838,10.1276657221749,9.59130099613196,11.9580686028778,9.56852467509241,"Ahyacinthus22596"
"Ahyacinthus20465",12.5379967006142,13.188626598038,14.5950960822994,12.0811986028489,14.1853518289025,12.99396084868,11.2319113292795,12.9238673066434,14.3817311843434,14.0853353584427,13.2681623686333,12.8973894678173,13.4974316725821,10.8944399875072,13.5950931852526,"Ahyacinthus20465"
"Ahyacinthus20698",8.87120419683883,9.07211911325281,9.10312510558529,10.3547805967781,8.24172061955046,9.89514430695117,10.2369587545181,8.53527727409783,9.30324221540279,8.62818393296696,9.98669837440673,9.05006081264072,9.57959284702159,10.4929225975965,9.04578349259531,"Ahyacinthus20698"
"Ahyacinthus16960",12.3856494396656,11.4884575447847,10.4527639484891,14.4444889915387,10.964497207505,12.1703826703852,13.0920114229985,11.7822960656294,10.0702410167371,10.689559729338,11.113160812631,12.3607176971436,10.1407620457303,14.805925641258,10.714788994259,"Ahyacinthus16960"
