gene,trim.321ra.gtf,trim.331ra.gtf,trim.336r.gtf,trim.370r.gtf,trim.380r.gtf,trim.410r.gtf,trim.414r.gtf,trim.419r.gtf,trim.468r.gtf,trim.512r.gtf,trim.549r.gtf,trim.568r.gtf,trim.571r.gtf,trim.581r.gtf,trim.586r.gtf
Ahyacinthus08973,9.022592572,8.800373705,9.299592241,9.008397934,8.747781783,9.07657135,8.447752791,9.522155518,8.804036025,9.389765144,8.784543289,9.542240259,9.009333108,6.47174412,9.563407656
Ahyacinthus08972,7.22193641,7.4470813,7.90464897,6.47174412,7.530183573,6.47174412,7.718874021,7.937653285,7.75286778,7.960858084,7.654782596,6.47174412,7.559625459,6.47174412,6.47174412
Ahyacinthus08971,10.05476187,9.474966533,8.334178237,8.857965798,8.629002223,8.956385672,9.400355434,9.482529991,8.150200996,8.70399944,9.417743606,10.146105,9.18870551,8.752123247,8.59946308
Ahyacinthus08977,9.489967089,9.899531583,9.716620104,9.746035945,9.678272049,9.725302279,9.417630178,9.787857252,9.610837324,10.039999,9.364074251,9.887150191,9.409814445,9.32667788,9.373358349
Ahyacinthus08976,11.48469479,11.76917516,10.86499758,11.07785182,10.7990571,11.73496927,12.17236939,11.44492171,11.44927182,11.307076,11.10972639,11.65388143,10.9429087,11.41802524,10.69487
Ahyacinthus08975,8.005913251,8.480527488,7.565730412,6.47174412,7.867667323,8.182696116,7.916801604,8.018207815,8.196528054,7.804776838,7.700411041,7.947191755,8.183205249,6.47174412,6.47174412
Ahyacinthus08974,8.821912394,8.398217368,8.763400723,6.47174412,8.409289136,9.548015543,8.286846944,8.576244076,8.30511621,8.873050289,8.225460896,8.244856163,9.131484894,6.47174412,8.334499141
Ahyacinthus09169,13.34432358,12.94583567,14.34158901,14.91793463,13.71354567,13.88321487,13.55108598,12.88407853,13.91112419,14.09573309,13.12419232,13.38297979,12.74671835,14.00162182,12.33139362
Ahyacinthus14460,10.23036376,9.818469674,10.14727299,10.37147662,10.31170407,9.405596103,11.17396118,9.635757641,8.761038984,11.06698908,9.125848557,10.22558538,8.951315806,9.414141724,9.891227844
Ahyacinthus14461,10.51888781,10.91362967,11.07910064,10.38797993,11.41129444,10.68549656,10.52142354,10.9819956,11.11994085,10.80609461,10.48144063,9.754293883,11.10264914,9.025215352,10.85803859
Ahyacinthus14462,10.28237527,9.896610541,11.16747906,11.03407927,11.21525783,10.26013784,9.594772759,10.26064912,11.23812517,11.2348381,11.33962901,11.13845418,10.5611719,8.84518211,11.39384149
Ahyacinthus14463,12.30066754,12.24096314,12.16827408,11.99395741,12.04804469,12.15771648,11.76930606,12.33223113,12.33236469,12.05170241,11.82371688,11.77801118,11.83017648,11.52425219,12.19414275
Ahyacinthus14464,9.870722061,9.430894638,9.231007002,8.742972404,9.745215875,8.617149104,9.942786774,9.873920228,8.963415697,9.351775523,9.447509132,8.574653942,9.169895284,9.83565655,9.491536627
Ahyacinthus14465,7.189975177,7.198176301,7.740060901,6.47174412,8.034668037,7.479649269,7.423020994,7.414230433,8.178212356,7.222923888,7.272405769,7.611211574,7.457363221,6.47174412,7.224963847
Ahyacinthus14466,7.516001322,7.554150476,7.270307037,6.47174412,7.550495857,7.263204329,8.391913731,7.54091916,6.47174412,7.586123148,8.007438932,7.128308405,7.595182405,6.47174412,7.659516354
Ahyacinthus14467,8.164252662,8.518433976,6.47174412,6.47174412,7.669792961,8.936913244,9.500936519,8.600655288,7.011980739,8.107148696,9.012123905,6.47174412,7.936717657,6.47174412,7.811456911
Ahyacinthus14468,6.47174412,7.041922318,6.984021152,6.47174412,7.095959469,6.47174412,7.718874021,7.23209326,7.345686313,7.606329028,7.319657892,7.536760123,7.497106985,6.47174412,6.47174412
Ahyacinthus14469,8.408147452,8.242176224,7.909897,6.47174412,7.583380546,8.629565709,9.368387396,8.685756685,7.445273346,8.009467241,7.744043882,8.322443766,7.662523722,8.991074225,8.409135525
Ahyacinthus01839,8.374373446,8.560427451,8.677063591,6.47174412,8.721492315,8.81376716,8.441310211,8.521326983,8.341966291,9.029264605,8.757372407,8.684330594,8.743377212,7.815759249,8.950676587
Ahyacinthus01838,10.86233174,10.59094269,10.8408308,9.276121575,10.90517679,10.14305052,9.989316542,10.82195094,10.73329241,11.150643,10.48498755,9.394343473,10.39113976,10.16992233,10.29222541
Ahyacinthus01831,12.82134404,13.0274219,13.68344933,13.50964356,13.97930389,13.70670809,12.52579617,12.77969448,14.54656881,14.23638263,14.13231024,14.51883056,14.04374701,14.26165938,14.99974733
Ahyacinthus01830,8.248361739,8.13068318,7.899375658,6.47174412,7.987569981,8.730609112,8.596229582,8.291244514,8.296775762,7.44855224,8.07247976,8.609393965,8.292586067,6.47174412,8.073322345
Ahyacinthus01833,10.47546039,10.48271006,9.993550939,9.713453878,10.04677907,10.23708933,10.14673311,10.54680828,10.05427311,10.2484454,9.985442017,9.803571406,10.72265932,6.47174412,9.883077129
Ahyacinthus01832,10.05690017,10.4420785,10.85443782,9.113739817,10.47042178,11.12158938,9.687890906,10.31845138,11.38227305,11.14655683,10.77431114,11.73812127,10.90537902,9.83565655,11.50648941
Ahyacinthus01835,8.032227977,8.392337919,8.075089114,6.47174412,8.679804177,8.730609112,8.921708168,8.502487512,8.658075893,8.992258346,8.605606497,7.870740191,9.409814445,6.47174412,8.355683124
Ahyacinthus01834,7.933770243,7.873928707,8.235535167,7.820976019,7.743733212,7.721616412,6.47174412,7.899018885,8.490184184,8.475771649,7.573599378,7.418378477,6.47174412,6.47174412,7.603223468
Ahyacinthus01837,9.920193494,10.08013363,9.927536004,8.556900524,10.12436829,9.960115871,9.759418723,10.08900406,9.620220364,9.593210026,9.623692643,9.281910496,9.903757763,8.895588082,9.630148178
Ahyacinthus12156,7.718392124,6.911200753,6.47174412,6.47174412,6.47174412,7.328369509,7.14428905,7.006492642,7.653503052,6.47174412,7.296406401,6.47174412,8.135105547,6.47174412,6.47174412
Ahyacinthus12157,8.554139551,7.4470813,6.47174412,6.47174412,6.47174412,7.165853806,7.999018239,7.084602286,7.416646423,6.47174412,6.945095127,6.47174412,6.47174412,6.47174412,7.250786185
Ahyacinthus12154,9.341948019,9.770279742,9.428968794,7.352757127,9.97157224,8.04234155,9.343920072,10.72897824,10.47187618,9.170753552,9.314340638,10.29071994,10.02547795,11.74587715,9.689185392
Ahyacinthus12155,13.38714926,13.1198265,13.03257266,12.4591424,12.16616242,11.40258551,11.83314912,13.25502255,13.61531638,12.91899393,12.16876259,11.91220329,12.6898184,10.02913249,12.94300108
Ahyacinthus12152,9.651585165,10.43006289,10.92341266,11.0651153,9.071992595,9.839910981,9.431606639,10.72467103,9.458506407,10.18718506,9.314340638,9.182100722,9.661793075,10.577507,9.644738025
Ahyacinthus12153,7.27455546,7.24587826,7.431064048,6.47174412,6.47174412,6.47174412,7.636851436,8.096746584,7.193247339,7.483567092,7.208636972,6.47174412,8.128072054,8.126017208,7.061227487
Ahyacinthus12150,11.33449797,11.36211185,10.66661285,10.11784686,10.86596818,10.63507963,11.75327358,11.3655188,11.21892022,10.58859379,10.90827566,10.44278707,10.95011863,11.63753793,10.90277936
Ahyacinthus12151,13.16094071,11.81848862,10.44181356,15.45784643,12.40240932,12.62994977,11.3146822,12.08928663,13.0498902,14.08502449,13.32360789,10.39860437,13.45443344,10.9871741,12.4960965
Ahyacinthus12158,8.95999753,8.252118273,8.145306634,11.69025776,7.50940331,9.16647055,8.075664905,8.042682416,8.728598324,8.406894755,8.397997777,9.509471654,8.459345346,8.621973564,7.938187717
