"","trim.16r.gtf","trim.211r.gtf","trim.218r.gtf","trim.225r.gtf","trim.227r.gtf","trim.235r.gtf","trim.236r.gtf","trim.244r.gtf","trim.253r.gtf","trim.34r.gtf","trim.43r.gtf","trim.61r.gtf","trim.71r.gtf","trim.76r.gtf","trim.82r.gtf","trim.86r.gtf"
"Peve_00035630",0,587,223,0,504,82,292,150,755,0,0,189,116,120,71,82
"Peve_00016113",0,1184,183,0,921,92,656,407,691,0,0,454,30,234,0,276
"Peve_00025382",0,1507,100,0,1241,0,330,0,1200,0,0,55,0,11,0,342
"Peve_00007438",0,1082,56,0,981,0,338,0,580,0,0,635,0,170,4,146
"Peve_00025380",0,3357,473,0,3145,70,514,615,535,0,0,257,0,50,40,782
"Peve_00025381",0,2398,410,0,2896,63,294,0,3355,0,0,454,135,0,41,1048
"Peve_00007435",0,647,109,0,224,0,37,135,202,0,0,62,0,0,4,35
"Peve_00005465",0,3582,714,0,3087,126,717,442,1420,42,0,1654,73,339,46,557
"Peve_00005466",163,18214,3387,0,22698,1199,8844,2160,11237,97,35,11041,660,2963,219,4195
"Peve_00044088",903,13529,2676,115,14068,762,5724,2291,7880,0,0,6849,680,2613,260,2645
"Peve_00044089",0,61,26,0,114,0,82,56,76,0,0,58,0,49,0,27
"Peve_00033776",864,1448,170,10,2323,126,236,197,555,0,0,604,0,144,0,173
"Peve_00031609",0,333,61,0,262,0,33,98,117,0,0,127,0,74,0,113
"Peve_00031600",171,1024,137,66,774,82,690,0,579,0,0,494,0,366,35,158
"Peve_00031601",0,284,79,0,804,0,376,0,467,0,0,181,0,92,0,58
"Peve_00031606",23,1773,453,4,1499,241,284,282,1168,0,0,455,17,394,37,427
"Peve_00031607",0,257,12,0,165,0,63,33,114,0,0,80,0,31,0,46
"Peve_00031605",0,318,99,0,237,21,157,0,485,0,0,91,0,28,0,51
"Peve_00044082",0,238,47,0,592,0,0,342,239,0,0,219,0,0,16,117
"Peve_00044083",63,2167,327,0,1689,78,684,204,1835,0,0,731,0,303,33,345
"Peve_00034271",243,840,54,0,1100,0,120,0,331,0,0,588,0,198,0,182
"Peve_00034272",0,10295,2021,0,8511,1027,2375,683,7689,0,40,2409,223,719,164,3033
"Peve_00008960",0,265,43,0,289,0,287,35,712,0,0,179,0,37,24,183
"Peve_00034276",0,1321,499,0,1378,0,563,107,705,0,0,616,34,179,41,429
"Peve_00014233",0,1300,354,0,823,244,555,226,667,0,0,262,72,240,28,278
"Peve_00023213",0,3381,578,0,3441,282,994,620,1155,0,0,937,121,418,38,384
"Peve_00017842",0,1933,530,0,3130,105,0,493,1658,0,0,866,44,397,0,395
"Peve_00036938",0,1066,186,0,490,0,246,0,420,0,0,397,0,137,2,266
"Peve_00019330",0,1474,270,0,1013,215,599,208,700,0,48,542,0,0,72,161
"Peve_00035378",0,1552,134,0,1048,132,446,128,780,0,0,287,66,165,6,210
"Peve_00036935",0,822,72,0,434,0,327,64,437,0,0,276,68,113,0,126
